"AGE";"EDUC";"EMPSTA";"FREQ";"MUN_DENSITY_LEVEL";"PCS_ESE";"QUANTILE_NIVVIE";"SEX";"TICM_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2017;95
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2017;
"_T";"0T1";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2017;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2020;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2021;
"_T";"_T";"_T";"A";"NON_PERI_URBAN_RURAL";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2021;
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"EQUIP_INT";"L";2020;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"L";2020;
"Y45T59";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2020;
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2020;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2020;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2021;
"_T";"_T";"1";"A";"_T";"3";"_T";"_T";"EQUIP_LISEUSE";"L";2021;
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2021;96.3
"Y15T44";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2011;
"Y_GE60";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2011;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_TAB";"L";2010;
"_T";"_T";"1";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2011;
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2011;85.3
"Y45T59";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2011;75.7
"_T";"_T";"_T";"A";"_T";"_T";"Q3";"_T";"HAUT_DEBIT";"L";2010;
"Y_GE60";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_SMARTPHONE";"L";2011;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"A";2011;66.2
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_ORDI";"L";2011;
"_T";"_T";"_T";"A";"_T";"_T";"Q4";"_T";"HAUT_DEBIT";"L";2010;
"Y15T29";"_T";"_T";"A";"_T";"_T";"_T";"_T";"HAUT_DEBIT";"A";2015;92.3
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2015;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2016;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2015;
"Y15T44";"_T";"_T";"A";"_T";"_T";"_T";"F";"EQUIP_LISEUSE";"L";2016;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2015;
"Y15T44";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_ORDI";"L";2015;
"_T";"3_X_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_X_OUTILS_NUM";"L";2016;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_TAB";"L";2016;
"_T";"_T";"_T";"A";"DENSE_URBAN";"_T";"_T";"_T";"EQUIP_TAB";"L";2016;
"Y45T59";"_T";"_T";"A";"_T";"_T";"_T";"M";"EQUIP_X_OUTILS_NUM";"L";2015;
"Y_GE60";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_LISEUSE";"L";2012;
"_T";"_T";"_T";"A";"_T";"_T";"Q2";"_T";"EQUIP_SMARTPHONE";"L";2013;
"_T";"_T";"_T";"A";"_T";"_T";"_T";"F";"HAUT_DEBIT";"A";2012;72.6
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_TAB";"L";2012;
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"HAUT_DEBIT";"A";2012;92.4
"_T";"_T";"1";"A";"_T";"4";"_T";"_T";"EQUIP_SMARTPHONE";"L";2012;
"_T";"2_353";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_SMARTPHONE";"L";2012;
"_T";"_T";"1";"A";"_T";"5";"_T";"_T";"EQUIP_INT";"A";2013;90
"_T";"4T8";"_T";"A";"_T";"_T";"_T";"_T";"EQUIP_INT";"A";2013;95.5
